autor,title,source,issue,year,session,keywords,abstract,id,link,
"JESUS, Jaqueline Rodrigues de; RUFINO, Fernanda Maciel; SILVA, Márcio Bezerra da","Análise de websites de bibliotecas sob a ótica Da web 2.0 e acessibilidade@pt-BR","Revista Informação na Sociedade Contemporânea","n. 1, v. 1 n. 1, p. 1-15","2014","Artigo</a>","","Discute a Web 2.0 na perspectiva das Bibliotecas no ambiente digital, sendo esta uma rede interativa e colaborativa, que nasceu em 2004 com o intuito de capturar e aproveitar a inteligência competitiva. Adotam como base de discussão a própria Web 2.0 e suas tecnologias. Objetiva-se, a partir de um estudo bibliográfico e análise de sites, identificar as vertentes de estudo/atuação da Web 2.0 em Bibliotecas e, especificamente, elencar as tecnologias da Web 2.0, bem como pontuar as tecnologias da Web 2.0 adotadas em Bibliotecas. Almeja, segundo os resultados da pesquisa, que os dados coletados nos apresentem a realidade de discussão em Web 2.0 nas Bibliotecas. Concluiu-se que a presente pesquisa estimulará estudos futuros diante da desmistificação do conceito Web 2.0, como também compreender a pesquisa do presente tema em Bibliotecas.@pt-BR Discusses the Web 2.0 from the perspective of libraries in the digital environment, this being an interactive and collaborative network, that was born in 2004 in order to capture and enjoy the competitive intelligence. Adopt as a basis for discussion the Web 2.0 and its own technologies. Our intention is, from a bibliographical study and review websites, identify the study sheds / performance of Web 2.0 in Libraries and specifically list the Web 2.0 technologies, as well as scoring the Web 2.0 technologies adopted in Libraries. Aims, according to the survey results, that the data collected presents the reality of discussion on Web 2.0 in Libraries. It was concluded that this study will stimulate further studies on the demystification of the Web 2.0 concept, but also understand the research of this topic Libraries.@en ","65674","https://brapci.inf.br/index.php/res/v/65674","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/80047"
"ALVES, Cláudio Diniz","Informação na twitosfera@pt-BR","Revista Digital de Biblioteconomia & Ciência da Informação","n. 2, v. 9, p. 92-105","2011","Artigo</a>","Biblioteconomia; 1 ciencia da informacao; Web 2.0. web social; Microblog; Midia social; Informacao; Web 2.0; Twitter; Library science; Information sciences; Social web; Microblogging; Social media; Information","Este artigo tem como objetivo analisar o microblog Twitter e suas ferramentas como um instrumento de produção e disseminação de informação numa sociedade (rotulada de ?Sociedade da Informação? ou ?Sociedade do Conhecimento?) onde as pessoas são afetadas pelo paradigma contemporâneo da ansiedade e overdose de informação.@pt-BR Abstract This article aims to analyze the microblog Twitter and its tools as a means of production and dissemination of information in a society (labeled "Information Society" or "Knowledge Society") where people are affected by the contemporary paradigm of anxiety and overdose information.@en ","39900","https://brapci.inf.br/index.php/res/v/39900","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/114586"
"PERCASTRE-MENDIZáBAL, Salvador","Twitter en campaña. Actores mediáticos en Twitter durante la campaña electoral intermedia en México en el año 2015@es-ES","Hipertext.net (Espanha)","n. 17., p. 95-102","2018","</a>","","Desde el enfoque teórico de la Comunicación Política, en este artículo se estudia la actividad de los perfiles de los actores mediáticos (medios de comunicación, periodistas y comunicadores) que intervinieron en las discusiones en Twitter durante las últimas elecciones intermedias en México en el año 2015. Se realizó un análisis cuantitativo del caso a partir de un esquema metodológico denominado Top Discussion Indicator (Percastre-Mendizábal; Pont-Sorribes; Codina, 2017), el cual permitió la obtención de una muestra significativa de los mensajes generados durante el día de mayor nivel de interacciones en el periodo de campaña legal. Como principal aporte al campo de estudio, este artículo analiza las interrelaciones discursivas entre uno de los principales actores clásicos de la comunicación política (Wolton, 1989) pero en el espacio de las redes sociales digitales; además de la aplicación empírica de un modelo de selección de muestras de discusiones políticas en una red de microblogging como Twitter.@es-ES From the theoretical approach of Political Communication, this article studies the activity of the profiles of media actors (media, journalists and communicators) who participated in the discussions on Twitter during the last intermediate elections in Mexico in 2015. A quantitative analysis of the case was made from a methodological scheme called Top Discussion Indicator (Percastre-Mendizábal, Pont-Sorribes, Codina, 2017), which allowed obtaining a significant sample of the messages generated during the day of biggest level of interactions in the legal campaign period. As the main contributions to the field of study, this article analyzes the discursive interrelationships between one of the main classical actors of Political Communication (Wolton, 1989) in the space of digital social networks; in addition to the empirical application of a sample selection model of political discussions in a microblogging network such as Twitter.@en ","126202","https://brapci.inf.br/index.php/res/v/126202","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/126603"
"MELLO, Thiago Silva; BEZERRA, Ed Porto; MORAIS, Aline Priscila Araujo de; SANTOS, Joceane Gomes do","ANÁLISE E VISUALIZAÇÃO DE DADOS DO TWITTER PARA DIVULGAÇÃO DE CONTEÚDO DE UMA ELEIÇÃO MUNICIPAL@pt-BR","Perspectivas em Gestão & Conhecimento","n. 1, v. 5, p. 184-195","2015","Relato de Pesquisa | Research Article</a>","Planejamento estrategico; Infografico; Campanha eleitoral; Twitter","Verificou-se a utilização das redes sociais, em especial o microblog Twitter, na campanha eleitoral para prefeito da cidade de João Pessoa, no ano de 2012. Avaliou-se o desempenho dos candidatos em relação a pesquisas de opiniões de votos por veículos de comunicação e as menções de internautas sobre seus candidatos. Acompanhou-se também, em tempo real, o resultado do pleito conduzido pelo Tribunal Regional Eleitoral (TRE) do Estado da Paraíba. Realizou-se uma análise sobre qual dos meios de comunicação foi mais eficiente em relação à aproximação de resultados apurados pelo TRE. Por fim, foram elaborados infográficos interativos contendo alguns resultados relevantes e uma comparação de pesquisas de opinião.@pt-BR ","52275","https://brapci.inf.br/index.php/res/v/52275","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/57047"
"CESAR, Larissa de Oliveira; SALDANHA, Patrícia Gonçalves","Pastor Silas Malafaia e o uso estratégico das mídias digitais: o novo púlpito religioso no cotidiano midiatizado@pt-BR","Revista Eletrônica de Comunicação, Informação e Inovação em Saúde","n. 1, v. 13","2019","</a>","Influenciador digital; Genero; Lider de opiniao; Midiatizacao; Midia digital; Religiao; Lider de opinion; Mediatizacion; Medios digitales; Opinion former; Mediatization; Digital influencer; Gender; Twitter; Digital media; Religion","Para compreender a tensão entre os conceitos de líder de opinião, desde sua formulação até a noção de influenciador digital na contemporaneidade, parte-se do pressuposto que a midiatização atravessa a vida cotidiana e pode afetar, portanto, suas mediações estruturantes, atravessando pensamentos e consumos sociais, com ênfase na religião. O trabalho que fundamenta este artigo se dividiu em duas etapas: a primeira utilizou como metodologia a revisão bibliográfica, tendo como eixo teórico Lazarsfeld e Sodré, aliada à pesquisa documental; a segunda consistiu em realizar uma análise de abordagem qualitativa no Twitter do pastor Silas Malafaia com o auxílio da ferramenta online WordArt, a fim de compreender a sua atuação como líder de opinião nas mídias digitais no que concerne às questões de gênero. Como resultado, concluímos que o pastor Malafaia influenciou a opinião de seu público ao retransmitir e ressignificar conteúdos sobre as questões de gênero enquanto ?ideologia de gênero? por meio das mídias digitais.@pt-BR Para comprender la tensión entre los conceptos de líder de opinión, desde su formulación hasta la noción de influenciador digital en la contemporaneidad, se parte del supuesto que la mediatización atraviesa la vida cotidiana y puede afectar, por lo tanto, sus mediaciones estructurantes, atravesando pensamientos y consumos sociales, poniendo énfasis en la religión. El trabajo que fundamenta este artículo ha sido dividido en dos etapas: la primera fue teórica utilizando una metodología que conjuga la revisión literaria (en torno de Lazarsfeld y Sodré) y la investigación documental. En la segunda etapa, para comprender su actuación como líder de opinión en los medios digitales sobre las cuestiones de género, se realizó un análisis de enfoque cualitativo en el Twitter de Silas Malafaia con el auxilio de la herramienta online WordArt. Como resultado, hemos concluido que Malafaia ha influenciado a su público en la retransmisión y resignificación de contenido sobre temas de género como ?ideología de género? a través de los medios digitales.@es-ES In order to understand the tension between concepts of opinion former from its formulation to the notion of someone who has digital influence in contemporary times, we work on the assumption that the mediatization traverses our everyday life and can therefore affect its structuring mediations, crossing thoughts and social consumption, placing emphasis on religion. The study on which this paper is based was divided into two stages: at first it was developed a theoretical work, using as methodology the literature review taking the axis of Lazarsfeld and Sodré, followed by a documentary research. The second part consisted in carrying out a qualitative analysis of Pastor Silas Malafaia?s Twitter helped by the online WordArt tool, in order to understand his opinion former role in digital media with regard to gender issues. The end result shows that Malafaia has influenced his public in retransmitting and re-signifying contents of gender issues as ?gender ideology? by means of digital media.@en ","130363","https://brapci.inf.br/index.php/res/v/130363","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/134083"
"RIBEIRO, Fábio","Ritmos da informação/comunicação de ciência dos centros de investigação em Portugal@pt-PT","Cadernos BAD (Portugual)","n. 2, p. 16-30","2016","Comunicação</a>","Ciencias da informacao e documentacao","A ciência envolve hoje um conjunto de procedimentos que não se esgotam no manuseamento de métodos e técnicas, materiais e enquadramentos teóricos. A preocupação de muitos cientistas reside na visibilidade científica do seu trabalho, pela valorização pessoal ou progressão na carreira, entre outros motivos. De braço dado com uma ?novilíngua? muito própria (Martins, 2012), a ciência passou a estar na encruzilhada de rankings, visualizações, downloads, citações, bases de indexação de revistas, projetos e bolsas, ou da internacionalização.Na expectativa de contribuir para uma reflexão sobre a disseminação do trabalho científico, este texto tenta responder a dois desafios: 1) recuperar algum do debate conceptual sobre o que significa informar/comunicar sobre ciência (Wolton, 2009; Carvalho & Cabecinhas, 2004), propondo a complementaridade entre os dois conceitos, em que o primeiro trata a publicação de conteúdos científicos e o segundo sugere uma vertente relacional entre investigadores e públicos (não) especializados; 2) analisar a informação e as ações de comunicação de ciência de centros de investigação em Portugal. Pretende-se caracterizar o posicionamento destes centros em ambientes online (site, blogues, redes sociais, etc.), avaliando questões críticas como modos de atuação nestes contextos, conteúdos habitualmente publicados, ações de formação com grupos específicos, relação com os média, interação com repositórios institucionais.@pt-PT ","69835","https://brapci.inf.br/index.php/res/v/69835","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/86407"
"BORBA, Vildeane da Rocha; MARINHO, Andrea Carla de Melo; CAREGNATO, Sonia","Análise do termo ?Repositório Institucional? no Twitter: um estudo altmétrico@pt-BR","Em Questão","v. 23, p. 290-308","2017","Artigo</a>","Ciencia social aplicada; 1 ciencia da informacao; Altmetria; Metrica alternativa; Comunicacao cientifica; Repositorio institucional; Altmetrics; Twitter; Alternative metrics; Scientific communication; Institutional repository","Apresenta uma análise altmétrica do termo ?Repositório Institucional? no Twitter no período de 2009 a 2015. O estudo é de caráter qualiquantitativo, do tipo descritivo e utilizou a altmetria buscando-se auferir as postagens relacionadas ao termo, bem como realizar uma análise de conteúdo das mesmas, a fim de identificar as relações estabelecidas entre o termo e assuntos associados. Os resultados mostraram que as primeiras publicações sobre o termo Repositório Institucional em língua portuguesa no Twitter aparecem em 2009, sendo que a maior quantidade de tweets sobre o tema aconteceu em 2013. Destacou-se a prevalência da categoria ?Citações sociais? e ?Divulgação de Repositório Institucional?, que, na maioria das vezes, menciona a implantação de Repositórios. Nas postagens referentes às citações sociais destaca-se a menção a ?Livros? e ?Artigo de revista?, evidenciando o Repositório da UFBA, que disponibilizou o maior número de livros publicados pela Editora da Instituição. A hashtag mais encontrada foi #opendoar, que é o diretório oficial de repositórios acadêmicos de acesso a erto, desenvolvido pela Universidade de Nottingham, no Reino Unido. Por fim, consideram-se os estudos altmétricos como uma possibilidade de análise das relações entre as mídias sociais e a produção científica, bem como uma alternativa de divulgação e/ou compartilhamento dessas informações entre os pesquisadores e interessados.@pt-BR It presents an altmetric analysis of the term â€œInstitutional Repositoryâ€ on Twitter in the period from 2009 to 2015. The study is qualitative and quantitative, descriptive in nature, and used altmetrics to show posts related to the term and the content analysis thereof in order to identify the relationships established between the term and associated issues. The results showed that the first publications about the Institutional Repository term in Portuguese on Twitter appeared in 2009, and the highest number of tweets on the subject took place in . It highlighted the prevalence of the category â€œsocial citationsâ€Â and â€œInstitutional Repository Disclosureâ€, which most often mentions the implementation of Repositories. In posts related to social citation there is mention of â€œBooksâ€ and â€œJournal articleâ€, a reference to the repository of UFBA, which provided the largest number of books published by the Publishing House of the Institution. The most frequent hashtag was #opendoar, which is the official directory of academic open access repositories, developed by the University of Nottingham, in the UK. Finally, altmetric studies are considered a possibility of analysis of the relationship between social media and the scientific production and an alternative to disseminate and/or share such information among researchers and stakeholders.@en ","8710","https://brapci.inf.br/index.php/res/v/8710","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/46092"
"GUTIéRREZ, Emiliano Martín; VIRDIS, Juan Marcelo; MELLER, Leandro; GUROVICH, Carlos; SIMóN, Federico De; LEYES, Lucas Fernández","¿Retuitear o responder? Covid-19 y Twitter. El caso de la ciudad de Bahía Blanca - Argentina (DOI: 10.13140/RG.2.2.31471.87203).@es-ES","Awari","n. 2","2020","</a>","","Resumen El contexto global inédito a causa de la COVID-19 ha generado diversos cambios en la sociedad y obligado a los gobiernos de los distintos países a adoptar medidas de confinamiento. Sin embargo, esta crisis se da en un marco internacional globalizado, donde la masificación del uso de diversas plataformas digitales permite generar una importante cantidad de información y estudiar las interacciones entre los individuos. En este trabajo, particularmente, se analiza desde la plataforma digital de Twitter el impacto en la opinión pública de la repercusión de la crisis del coronavirus en la ciudad de Bahía Blanca (Argentina), pretendiendo identificar a los actores principales en la producción de los mensajes, averiguar qué usuarios son los que tienen una mayor capacidad para controlar su difusión y medir la relevancia o autoridad en las interacciones analizadas mediante técnicas de Análisis de Redes Sociales. Como principal resultado sobresale la fragmentación de la información entre los individuos, siendo la interacción resultante escasa. Por otra parte, se encontró que en el análisis de retuits los principales actores no resultan relevantes fuera de la plataforma digital, mientras que en el análisis de las respuestas los principales actores sí se caracterizan por tener un rol prominente en la escena política o las comunicaciones a nivel local. Palabras claves: Twitter, Covid-19, Análisis de Redes Sociales. Abstract The unprecedented global context caused by COVID-19 has generated various changes in society and forced the governments of different countries to adopt containment measures. However, this crisis occurs in a globalized international context, where the mass use of various digital platforms allows the generation of a significant amount of information and the study of interactions between individuals. In this work, in particular, the impact on public opinion about the coronavirus crisis in the city of Bahía Blanca (Argentina) is analysed from the Twitter digital platform, trying to identify the main actors in the production of messages , find out which users having a greater capacity to control its diffusion and measure the relevance or authority in the interactions analysed using Social Network Analysis techniques. The main result is the fragmentation of information between individuals, being the resulting interaction scarce. On the other hand, it was found that in the analysis of retweets the main actors are not relevant outside the digital platform, while in the analysis of the responses the main actors are characterized by having a prominent role in the political scene or in communications locally. Keywords: Twitter, Covid-19, Social Network Analysis. @es-ES ","150313","https://brapci.inf.br/index.php/res/v/150313","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/150509"
"SANTINI, Rose Marie; TERRA, Camyla; ALMEIDA, Alda Rosana Duarte de","FEMINISMO 2.0: A MOBILIZAÇÃO DAS MULHERES NO BRASIL CONTRA O ASSÉDIO SEXUAL ATRAVÉS DAS MÍDIAS SOCIAIS (#PRIMEIROASSEDIO)@pt-BR","Revista P2P e INOVAÇÃO","n. 1, v. 3, p. 148-164","2016","Artigo</a>","","Muito vem se discutindo sobre igualdade de gênero e garantia de direitos para as mulheres em todo o mundo, mas o ano de 2015 foi decisivo para a construção de uma nova narrativa sobre os movimentos feministas na mídia, especialmente no Brasil. Esse ano é marcado por dois fatos sociais importantes. Por um lado, destaca-se a divulgação do ?Mapa da Violência? de 2012 a 2015, que revelou dados atuais e inéditos sobre a realidade do feminicídio no nosso país. Por outro, iniciativas online questionaram tabus femininos que há décadas são pouco debatidos publicamente no Brasil pelos cidadãos e cidadãs comuns. Diante desse cenário, o objetivo desta pesquisa foi investigar a nova dinâmica dos movimentos sociais na chamada sociedade em rede a partir da mobilização das mulheres brasileiras nas redes sociais, onde o alcance das mensagens extrapola os domínios da vida social e cotidiana dos indivíduos diretamente envolvidos para infinitas redes de informação online. Para tal, foi realizado o estudo de caso da hashtag #primeiroassedio através dos dados extraídos da rede social Twitter relacionados à campanha online ocorrida no Brasil em 2015, que foram interpretados e discutidos à luz da literatura sobre Análise de Redes Sociais (ARS ou SNA - Social Network Analysis). Os resultados encontrados indicam que a nova dinâmica dos movimentos sociais em redes online permite que um perfil com pouca ou nenhuma visibilidade midiática aparente, como o @thinkolga, pode criar uma campanha de ação política e obter grande repercussão entre os usuários destas redes. Este novo fenômeno social pode apontar para uma possível atualização da tradicional teoria da espiral do silêncio na medida em que considera o efeito mútuo dos meios de comunicação de massa e das mídias sociais na formação da opinião pública. @pt-BR ","9380","https://brapci.inf.br/index.php/res/v/9380","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/46418"
"SALCEDO, Diego; ALVES, Riane","MÍDIA SOCIAL NAS BIBLIOTECAS UNIVERSITÁRIAS: o caso do Twitter nas Universidades Católica e Federal Rural de Pernambuco@pt-PT","Páginas A&B, Arquivos e Bibliotecas (Portugal)","n. 9, p. 12-27","2018","Artigo</a>","","No Brasil, as bibliotecas universitárias são maioria dentre todos os tipos. Uma forma de aproximar-se ao público é adaptar-se às ferramentas da web 2.0, considerada a segunda geração e caracterizada por participação e compartilhamento ativos dos interagentes. O Twitter é uma mídia social inserida nessa geração e é o foco deste artigo. Duas entrevistas foram feitas com bibliotecários-chefes de duas grandes universidades do Recife, a Católica de Pernambuco e a Federal Rural de Pernambuco. Foram analisados os serviços oferecidos, os posicionamentos dos bibliotecários diante da geração atual, o uso do Twitter e as mudanças no relacionamento bibliotecário/interagente. A pesquisa concluiu que é positiva a utilização do Twitter nas bibliotecas universitárias, indica a sua utilização pela Biblioteca Central da Federal Rural de Pernambuco e indica a necessidade de sensibilização e estímulo sobre a temática junto aos bibliotecários que atuam em bibliotecas universitárias públicas e privadas.Palavras-chave: Biblioteca; Mídia Social; Twitter; Universidade@pt-PT ","69413","https://brapci.inf.br/index.php/res/v/69413","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/86257"
"ROMEIRO, Nathália; SILVA, Franciéle Carneiro Garcês da","A Folksonomia das hashtags como instrumento de militância contra o assédio sexual no Facebook: Avaliação da hashtag #mexeucomumamexeucomtodas@pt-BR","Revista Brasileira de Biblioteconomia e Documentação","n. 2, v. 14, p. 215-232","2018","Artigo</a>","Folksonomia; Midia social; Militancia social; Assedio sexual; Facebook","Resumo: Este artigo visa compreender como as hashtags auxiliam na discussão militante contra o assédio sexual na mídia social Facebook. Como objetivos específicos: (a) mapear a quantidade de postagens relacionadas à hashtag #mexeucomumamexeucomtodas desde a divulgação da denúncia no quadro #AgoraÉQueSãoElas, da Folha de São Paulo; (b) descrever o gatilho que desencadeou a popularização da hashtag; e, (c) categorizar as postagens recuperadas e; (d) discutir quanto à sua utilização das hashtags para a conscientização e debate contra o assédio sexual. No que tange à fundamentação teórica, este estudo apresenta a folksonomia e hashtags como meio de militância nas mídias sociais, em especial, no Facebook, além de discutir o assédio sexual e dominação patriarcal sob o olhar de Higa (2016), Bordieu (2012), Souza (2006), Narvaz (2005) e Saffioti (1988). Em relação à metodologia, trata-se de uma pesquisa de cunho exploratório e documental, realizada no período de março a maio de 2017. Enquanto resultados, foram encontradas 121 publicações utilizando a hashtag pesquisada. Das categorias atribuídas, as notícias foram as que mais causam interações com comentários nas postagens. As postagens que possuem imagens são as que mais causam engajamento no compartilhamento e curtidas por parte dos usuários do facebook. Enquanto considerações finais, destacamos a relevância desta discussão ara a Biblioteconomia e Ciência da Informação, bem como a importância de ampliar as pesquisas sobre a Folksonomia e a militância social através do uso de hashtags.@pt-BR ","3433","https://brapci.inf.br/index.php/res/v/3433","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/43411"
"DIAS, Luana Gomes; CASTRO, Hallison Phelipe Lopes; SILVA, Márcio Bezerra da","Categorização de serviços da Web 2.0: uma proposta de apoio aos bibliotecários@pt-BR","Revista Folha de Rosto","n. 2, v. 1, p. 5-16","2015","Artigo</a>","","Apresenta um estudo sobre os serviços e ferramentas da Web 2.0 em favor dos bibliotecários, que ao serem implementados formalizam a chamada biblioteca 2.0. Fundamenta teoricamente o trabalho por meio de conceitos, breve histórico, serviços e exemplos de ferramentas da Web 2.0. Objetiva propositar uma categorização tipológica de serviços da Web 2.0, além de elencar exemplos de suas respectivas ferramentas, ambos via percurso metodológico constituído pelas pesquisas exploratória e bibliográfica, com abordagem de coleta de dados qualitativa e campo de estudo formalizado por ambientes da Web 2.0, inclusive lojas virtuais (e-commerce). Categoriza os serviços da Web 2.0 como etiquetagem, compartilhamento de arquivos, fluxo de mídia, armazenamento em nuvem, produção de conteúdo, redes sociais, monitoramento em tempo real do comportamento do usuário, feedback, marketing digital e disseminação seletiva da informação (DSI). Conclui-se que o uso consciente dos serviços da Web 2.0 está atrelado a eficiência dos produtos ofertados pelas bibliotecas, especialmente na Internet, cabendo aos bibliotecários explorarem o uso da inteligência coletiva em prol das melhores estratégias frente as ações de produção, organização, armazenamento, monitoramento, compartilhamento e disseminação da informação.@pt-BR ","39486","https://brapci.inf.br/index.php/res/v/39486","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/52341"
"MANZANO, Fabio Ruivo; SILVA, Flávia Gomes-Franco e","YouTube como herramienta de refuerzo de marca para la Agencia EFE. Pilares para el éxito en plataformas de vídeos digitales@es-ES","Hipertext.net (Espanha)","n. 18, p. 35-46","2019","</a>","","En este estudio se ha planteado analizar cómo la Agencia EFE se vale de la plataforma de vídeos digitales YouTube para la reproducción de contenidos multimedia propios de este tipo de web y cómo puede utilizarlos para el mantenimiento y refuerzo de su marca y presencia en línea a través de contenidos dirigidos a la audiencia final. Se observa un patrón en las publicaciones de los canales virtuales de las agencias de noticias, con formatos similares, resultado de una transformación de Internet que es ahora más audiovisual debido a la consolidación de plataformas de vídeos. Se detecta asimismo una tendencia, por parte de las agencias, a no crear contenidos diferentes a los que se envían a los abonados. Las agencias de noticias se han mantenido bajo el anonimato frente al gran público, pero la clave para incrementar su visibilidad parece encontrarse en las nuevas plataformas digitales como YouTube.@es-ES In this study, we intended to analyze how Agencia EFE (Spanish news agency) uses the digital video platform YouTube to reproduce multimedia contents specially made to these kinds of web and how itâ€™s possible to use them for to maintain and reinforce its brand and online presence through contents directed to final audience. There seems to be a pattern on the publications on the virtual channels of the news agencies, with similar formats, due to a transformation of the Internet that is now more audiovisual for the consolidation of video platforms. Itâ€™s also detected, by the agencies, the tendency of not creating contents that are different than those presented to the subscribers (clients). The news agencies have been under the anonymity to the audience, but the key to increase their visibility seems to be on new platforms such as YouTube.@en ","126230","https://brapci.inf.br/index.php/res/v/126230","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/126591"
"RUFINO, Fernanda Maciel; SILVA, Márcio Bezerra da","A web 2.0 na informatização de bibliotecas: um estudo propositivo@pt-BR","Ponto de Acesso","n. 2, v. 10, p. 17-38","2016","Artigo</a>","Biblioteconomia; Tecnologia da informacao; 1 ciencia da informacao; Informatizacao de biblioteca; Sistema de automacao de biblioteca; Web 2.0. rede pergamum","Investigação que estuda a aplicação de recursos da Web 2.0 na informatização de bibliotecas, com enfoque nos sistemas de automação de biblioteca (SAB). Apresenta um referencial teórico formalizado por dois objetos de investigação da tecnologia da informação (TI): Web 2.0 e exemplos de recursos, e SAB e seus paradigmas (livre e proprietário). Objetiva-se, de forma geral, analisar o uso de recursos da Web 2.0 nos SAB. Adota como percurso metodológico as técnicas de pesquisa exploratória e bibliográfica, e como campo de estudo o SAB proprietário Pergamum, utilizado na Biblioteca Central da Universidade de Brasília (BCE/UnB). Apresenta como resultados da pesquisa a flexibilidade e a colaboração social como as caraterísticas da Web 2.0 que mais se deflagraram nas proposições de ferramentas a serem implementadas, sendo estas a nuvem de tags, Youtube, Facebook, Twitter, Skoob, Really Simple Syndication (RSS), além de um espaço específico para avaliação, compartilhamento e recomendação de materiais. Conclui-se que o bibliotecário precisa estar atento ao uso de inovações das TI nos produtos e serviços oferecidos em suas bibliotecas, especialmente no ambiente digital como os e-commerces e na iniciativa da Biblioteca da Universidade de Caxias do Sul (UCS) em disponibilizar o seu catálogo, também da rede Pergamum, no Facebook.@pt-BR ","81752","https://brapci.inf.br/index.php/res/v/81752","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/98682"
"ZEREGA-GARAYCOA, María Mercedes","Un â€œtuiterazoâ€ por la independencia: el uso de Twitter para la enseÃ±anza de historia@pt-BR","AtoZ: Novas Práticas em Informação e Conhecimento","n. 2, v. 4, p. 74-83","2015","Artigo</a>","Educacao; Metodo e tecnica de ensino; Ensino de historia; Rede social; Jogo de papeis; Educacion; Metodos y tecnicas de ensenanza; Ensenanza de historia; Redes sociales; Juego de roles; Twitter; Education; Teaching methods and techniques; History teaching; Social networks; Role-play","Introdução: É necessário que os alunos deixem de entender um evento histórico de forma unidimensional e abordá-lo a partir dos relatos de seus atores. Como fazer que tais alunos o façam desenvolvendo empatia? Como se pode usar a tecnologia para "jogar" com o passado? Este estudo resume um projeto de sala de aula na qual se organizou um "role play game" utilizando-se o Twitter, e que foi chamado de "tuiteraço pela independência". A atividade ocorreu na área de conhecimento de história e com base na proposta de Ensino para a Compreensão (EPC). Assim, o objetivo foi compreender as posições de "atores" da independência latino-americana e desenvolver um processo empático. Método: avaliou-se o nível de compreensão e conscientização dos estudantes sobre o desenvolvimento da empatia promovido pela atividade, assim como a satisfação dos estudantes frente a atividade. Para tal, aplicou-se um questionário composto de perguntas abertas e fechadas visando avaliar a aprendizagem, assim como escalas para medir empatia e satisfação. O instrumento foi aplicado a 72 jovens estudantes do ensino médio. Resultados: Os alunos entendem que, para compreender um acontecimento histórico, é necessário entender o ponto de vista diferentes atores e consideraram que houve um bom nível de compreensão do papel de cada ator no cenário da independência latino-americana. Indicaram que a atividade contribuiu de maneira ampla para o desenvolvimento da empatia e declararam-se satisfeitos. Conclusões: A rede social Twitter pode ser usada para o desenvolvimento de role-playing games voltados ao reforço do entendimentos de fatos históricos como um conjunto de narrativas produzidas por atores que têm diferentes papéis e posições em torno dos acontecimentos.@pt-BR Introducción: Es necesario que los estudiantes dejen de comprender un evento histórico de forma unidimensional y se aproximen a él desde los relatos de sus actores. ¿Cómo lograr que lo hagan desarrollando empatía? ¿Se puede usar las tecnologías del presente para ?jugar? al pasado? Este estudio resume un proyecto de aula que organizó un juego de rol a través de Twitter denominado ?tuiterazo por la independencia? en la materia de Historia tomando como marco la Enseñanza para la Comprensión (EpC). El objetivo era comprender las posiciones de actores de la independencia latinoamericana y desarrollar empatía. Método: Se evaluaron el nivel de comprensión y la percepción de los estudiantes sobre el desarrollo de empatía promovido por la actividad, así como su satisfacción con ésta a partir de un cuestionario constituido de preguntas abiertas para evaluar aprendizajes y preguntas cerradas y escalas para medir su empatía y nivel de satisfacción. El cuestionario fue aplicado a 72 jóvenes estudiantes de bachillerato. Resultados: Los estudiantes entendieron que para comprender un evento histórico debe comprenderse el punto de vista diferentes actores y alcanzaron buenos niveles de comprensión del papel de cada actor en la independencia. Además indicaron que contribuyó en buena medida a desarrollar su empatía y tuvo un alto nivel de satisfacción. Conclusiones: La red social Twitter puede ser utilizada para el desarrollo de juego de roles de carácter histórico y reforzar las comprensiones de la historia como un conjunto de relatos producidos por actores que tienen diferentes roles y posiciones alrededor de éste.@es-ES Introduction: There are difficulties in understanding historical time. It is necessary that students stop seeing historic events in a one-dimensional way and see them by means of the actor´s tale instead. How can teachers achieve that students do so by developing empathy? Can one use current technology in order to â€œplayâ€ the past? This research summarizes a class project that organized a game using role-play via Twitter, called â€œTwitting for independenceâ€ in a course in History taking Teaching for Understanding (TfU) as reference framework. The objective was to comprehend the position of the actors of Latin-American independence and build empathy regarding their roles. Method: It was evaluated the level of perception and comprehension of the students concerning the development of empathy promoted by this activity, as well as their satisfaction with this, applying a open questionnaire in order to measure their learning, as well as closed questions and scales to measure their empathy and satisfaction level. The questionnaire was applied to 72 young high school students. Results: Students learnt that in order to understand a historic event it had to be seen from the actors´ different points of view. They reached good levels of understanding of the role each actor played in achieving Latin American Independence and indicated that the activity largely contributed to developing their empathy. Conclusions: The social network Twitter can be used to develop historical character role-plays and reinforce the comprehension of History as an ensemble of tales produced by actors with different roles and positions around it.@en ","15644","https://brapci.inf.br/index.php/res/v/15644","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/49307"
